player1_id,player2_id,atp_difference,classe,proba,odds
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
player1_id,player2_id,atp_difference,classe,proba,odds
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
player1_id,player2_id,atp_difference,classe,proba,odds
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
1000,1000,0,1,0.5,2.0
player1_id,player2_id,atp_difference,classe,proba,odds
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
player1_id,player2_id,atp_difference,classe,proba,odds
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
1000,1000,0,0,0.5,2.0
